Date,Close,High,Low,Open,Volume
2024-01-02,47761.6484375,48223.55078125,47689.80078125,48194.80078125,183200
2024-01-03,47704.94921875,47798.75,47481.3515625,47796.30078125,233300
2024-01-04,48195.8515625,48281.19921875,47738.1484375,47805.3984375,175700
2024-01-05,48159.0,48381.94921875,47822.8515625,48245.55078125,181000
2024-01-08,47450.25,48154.5,47387.3515625,48096.6484375,231400
2024-01-09,47242.6484375,47939.30078125,47156.05078125,47705.3984375,161000
2024-01-10,47360.8515625,47423.44921875,47010.80078125,47073.8515625,165200
2024-01-11,47438.3515625,47662.1015625,47237.0,47538.6015625,132500
2024-01-12,47709.80078125,47873.69921875,47408.5,47572.69921875,191600
2024-01-15,48158.30078125,48248.05078125,47825.3984375,47891.05078125,167100
2024-01-16,48125.1015625,48305.3984375,48002.8515625,48109.94921875,224500
2024-01-17,46064.44921875,47212.75,45979.6015625,46573.94921875,499600
2024-01-18,45713.55078125,46184.05078125,45430.69921875,45492.75,275000
2024-01-19,45701.1484375,46249.8515625,45558.05078125,46103.5,296600
2024-01-23,45015.05078125,46580.30078125,44886.1015625,46495.44921875,422600
2024-01-24,45082.3984375,45485.5,44489.3984375,44489.3984375,348700
2024-01-25,44866.1484375,45139.05078125,44429.0,45057.94921875,386800
2024-01-29,45442.3515625,45660.3515625,45110.8984375,45171.5,336800
2024-01-30,45367.75,45678.69921875,45206.05078125,45481.5,232100
2024-01-31,45996.80078125,46179.75,45071.19921875,45295.6484375,373100
2024-02-01,46188.6484375,46306.8984375,45668.3515625,46164.8984375,305700
2024-02-02,45970.94921875,46892.3515625,45901.25,46568.19921875,337000
2024-02-05,45825.55078125,46048.6015625,45615.1015625,45962.25,265900
2024-02-06,45690.80078125,45932.1484375,45527.0,45891.19921875,178600
2024-02-07,45818.5,46062.8515625,45620.5,45944.6015625,283700
2024-02-08,45012.0,46181.19921875,44893.75,45973.8515625,319900
2024-02-09,45634.55078125,45718.1484375,44859.1484375,44986.75,276000
2024-02-12,44882.25,45748.5,44633.8515625,45664.30078125,268800
2024-02-13,45502.3984375,45750.3984375,44819.55078125,45056.80078125,245900
2024-02-14,45908.30078125,46170.44921875,44860.75,45014.6484375,280000
2024-02-15,46218.8984375,46297.69921875,45590.19921875,46027.1015625,277700
2024-02-16,46384.8515625,46693.3984375,46264.3984375,46454.30078125,291400
2024-02-20,47094.19921875,47136.75,46367.80078125,46444.8984375,171900
2024-02-21,47019.69921875,47363.3984375,46886.94921875,47363.3984375,198900
2024-02-22,46919.80078125,47024.05078125,46426.8515625,46934.55078125,177200
2024-02-23,46811.75,47245.3515625,46723.1484375,47060.69921875,200500
2024-02-26,46576.5,46893.1484375,46513.55078125,46615.8515625,223700
2024-02-27,46588.05078125,46722.25,46324.8984375,46480.19921875,157300
2024-02-28,45963.1484375,46754.55078125,45852.55078125,46640.8984375,167300
2024-02-29,46120.8984375,46329.6484375,45661.75,45881.44921875,544700
2024-03-01,47286.8984375,47342.25,46218.0,46218.0,172500
2024-03-04,47456.1015625,47529.6015625,47191.6484375,47318.5,158100
2024-03-05,47581.0,47737.8515625,47196.75,47265.69921875,176900
2024-03-06,47965.3984375,48161.25,47442.25,47451.6484375,301700
2024-03-07,47835.80078125,48071.69921875,47747.19921875,48035.80078125,146300
2024-03-11,47327.8515625,47853.80078125,47230.6484375,47792.19921875,204200
2024-03-12,47282.3984375,47812.75,46884.44921875,47351.3515625,207200
2024-03-13,46981.30078125,47468.69921875,46842.1484375,47341.1484375,274600
2024-03-14,46789.94921875,47231.5,46565.55078125,46825.75,220400
2024-03-15,46594.1015625,46802.55078125,46310.5,46572.1015625,339300
2024-03-18,46575.8984375,46739.25,46022.1484375,46458.75,151300
2024-03-19,46384.80078125,46602.3515625,46258.75,46421.8984375,147100
2024-03-20,46310.8984375,46655.55078125,45828.80078125,46392.8984375,210400
2024-03-21,46684.8984375,46990.25,46570.1484375,46674.8515625,150400
2024-03-22,46863.75,46974.1484375,46566.80078125,46634.8984375,172200
2024-03-26,46600.19921875,46788.3515625,46529.05078125,46552.94921875,171700
2024-03-27,46785.94921875,46956.1015625,46643.44921875,46643.44921875,285100
2024-03-28,47124.6015625,47440.44921875,46827.8515625,46827.8515625,348000
2024-04-01,47578.25,47646.80078125,47373.1015625,47391.05078125,134089400
2024-04-02,47545.44921875,47707.3515625,47408.55078125,47490.75,183400
2024-04-03,47624.25,47676.94921875,47279.80078125,47350.25,283800
2024-04-04,48060.80078125,48254.6484375,47712.69921875,48086.19921875,324300
2024-04-05,48493.05078125,48557.3984375,47894.5,48104.6484375,214300
2024-04-08,48581.69921875,48716.94921875,48424.6484375,48586.75,263400
2024-04-09,48730.55078125,48960.75,48568.25,48810.80078125,147600
2024-04-10,48986.6015625,49057.3984375,48669.25,48879.55078125,247100
2024-04-12,48564.55078125,48882.6484375,48477.55078125,48671.19921875,208000
2024-04-15,47773.25,48255.5,47725.80078125,48057.5,197100
2024-04-16,47484.80078125,47609.0,47316.55078125,47436.69921875,186100
2024-04-18,47069.44921875,47829.75,46982.1484375,47592.69921875,186400
2024-04-19,47574.1484375,47668.69921875,46579.05078125,46744.94921875,164600
2024-04-22,47924.8984375,48146.30078125,47628.44921875,48145.69921875,177700
2024-04-23,47970.44921875,48302.69921875,47899.30078125,48299.6015625,141100
2024-04-24,48189.0,48246.19921875,48028.69921875,48120.8984375,112200
