Date,Close,High,Low,Open,Volume
2024-06-03,76468.78125,76738.890625,75678.4296875,76583.2890625,19300
2024-06-04,72079.046875,76300.4609375,70234.4296875,76285.78125,39100
2024-06-05,74382.2421875,74534.8203125,71879.4375,73027.8828125,17200
2024-06-06,75074.5078125,75297.7265625,74474.9375,75078.703125,13300
2024-06-07,76693.359375,76795.3125,74941.8828125,75031.7890625,29000
2024-06-10,76490.078125,77079.0390625,76379.7265625,76935.40625,17300
2024-06-11,76456.59375,76860.53125,76296.4375,76680.8984375,6700
2024-06-12,76606.5703125,77050.53125,76533.78125,76679.109375,9700
2024-06-13,76810.8984375,77145.4609375,76719.703125,77102.046875,7500
2024-06-14,76992.7734375,77081.296875,76549.046875,76912.3828125,12400
2024-06-18,77301.140625,77366.7734375,77071.4375,77235.3125,7400
2024-06-19,77337.59375,77851.6328125,76954.8671875,77543.21875,11100
2024-06-20,77478.9296875,77643.09375,77100.359375,77554.828125,8700
2024-06-21,77209.8984375,77808.453125,76802.0,77729.4765625,23200
2024-06-24,77341.078125,77423.0234375,76745.9375,76885.6484375,13900
2024-06-25,78053.5234375,78164.7109375,77459.6015625,77529.1875,8800
2024-06-26,78674.25,78759.3984375,77945.9375,78094.0234375,8600
2024-06-27,79243.1796875,79396.03125,78467.34375,78758.671875,9600
2024-06-28,79032.7265625,79671.578125,78905.890625,79457.578125,17200
2024-07-01,79476.1875,79561.0,78971.7890625,79043.3515625,0
2024-07-02,79441.453125,79855.8671875,79231.109375,79840.3671875,0
2024-07-03,79986.796875,80074.296875,79754.953125,80013.7734375,0
2024-07-04,80049.671875,80392.640625,79986.40625,80321.7890625,8800
2024-07-05,79996.6015625,80149.8671875,79478.9609375,79778.9765625,16200
2024-07-08,79960.3828125,80067.4609375,79731.828125,79915.0,14100
2024-07-09,80351.640625,80397.171875,79998.5625,80107.2109375,6200
2024-07-10,79924.7734375,80481.359375,79435.7578125,80481.359375,9300
2024-07-11,79897.34375,80170.09375,79464.3828125,80170.09375,8200
2024-07-12,80519.34375,80893.5078125,79843.390625,80093.6171875,18400
2024-07-15,80664.859375,80862.5390625,80556.96875,80686.5390625,16200
2024-07-16,80716.546875,80898.296875,80598.0625,80731.4921875,8700
2024-07-18,81343.4609375,81522.546875,80390.3671875,80514.25,9300
2024-07-19,80604.6484375,81587.7578125,80499.1015625,81585.0625,16100
2024-07-22,80502.078125,80800.921875,80100.6484375,80408.8984375,11400
2024-07-23,80429.0390625,80766.40625,79224.3203125,80724.296875,13100
2024-07-24,80148.8828125,80519.578125,79750.5078125,80343.3828125,9900
2024-07-25,80039.796875,80143.1015625,79477.828125,79542.109375,9700
2024-07-26,81332.71875,81427.1796875,80013.6015625,80158.5,18400
2024-07-29,81355.84375,81908.4296875,81135.90625,81679.6484375,19400
2024-07-30,81455.3984375,81815.2734375,81230.4375,81349.28125,10800
2024-07-31,81741.34375,81828.0390625,81434.3203125,81655.8984375,6900
2024-08-01,81867.546875,82129.4921875,81700.2109375,81949.6796875,14500
2024-08-02,80981.953125,81345.6015625,80868.90625,81158.9921875,19500
2024-08-05,78759.3984375,79780.609375,78295.859375,78588.1875,25100
2024-08-06,78593.0703125,79852.078125,78496.5703125,78981.96875,8900
2024-08-07,79468.0078125,79639.203125,79106.203125,79565.3984375,8600
2024-08-08,78886.21875,79626.921875,78798.9375,79420.4921875,8900
2024-08-09,79705.90625,79984.2421875,79549.09375,79984.2421875,8800
2024-08-12,79648.921875,80106.1796875,79226.1328125,79330.1171875,10500
2024-08-13,78956.03125,79692.546875,78889.3828125,79552.5078125,7400
2024-08-14,79105.8828125,79228.9375,78895.71875,79065.21875,10700
2024-08-16,80436.84375,80518.2109375,79306.6875,79754.8515625,13100
2024-08-19,80424.6796875,80724.3984375,80332.6484375,80680.25,10300
2024-08-20,80802.859375,80942.9609375,80517.953125,80722.5390625,6600
2024-08-21,80905.296875,80952.828125,80626.3828125,80667.25,5800
2024-08-22,81053.1875,81236.453125,80954.0234375,81207.2421875,5800
2024-08-23,81086.2109375,81231.4921875,80883.2578125,81165.6484375,10400
2024-08-26,81698.109375,81824.2734375,81278.4375,81388.2578125,16200
2024-08-27,81711.7578125,81919.109375,81600.5078125,81815.2265625,5700
2024-08-28,81785.5625,82039.2578125,81578.3203125,81779.84375,5100
2024-08-29,82134.609375,82285.828125,81682.78125,81822.5625,8400
2024-08-30,82365.7734375,82637.03125,82256.0234375,82637.03125,10300
2024-09-02,82559.84375,82725.28125,82440.9296875,82725.28125,9500
2024-09-03,82555.4375,82675.0625,82400.7578125,82652.6875,4300
2024-09-04,82352.640625,82408.5390625,81833.6875,81845.5,9100
2024-09-05,82201.15625,82617.4921875,82130.4375,82469.7890625,7000
2024-09-06,81183.9296875,82254.7890625,80981.9296875,82171.078125,14500
2024-09-09,81559.5390625,81653.359375,80895.046875,80973.75,7800
2024-09-10,81921.2890625,82196.546875,81445.296875,81768.71875,5600
2024-09-11,81523.15625,82134.953125,81423.140625,81928.1171875,7800
2024-09-12,82962.7109375,83116.1875,81534.2890625,81930.1796875,8300
