Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,01-Jan-2024,25-Jan-2024,48580.00,48869.00,48389.40,48535.70,48405.00,48535.70,120422.00,878243.28,2052195.00,-25530.00,48234.30
BANKNIFTY,01-Jan-2024,29-Feb-2024,48800.15,49190.00,48715.05,48860.80,48732.00,48860.80,6601.00,48446.86,171855.00,-7485.00,48234.30
BANKNIFTY,01-Jan-2024,28-Mar-2024,49100.05,49455.00,49019.55,49157.65,49041.45,49157.65,2036.00,15041.83,54720.00,9210.00,48234.30
BANKNIFTY,02-Jan-2024,25-Jan-2024,48375.00,48489.95,47877.45,47946.65,47882.55,47946.65,178046.00,1286113.08,2283615.00,231420.00,47761.65
BANKNIFTY,02-Jan-2024,29-Feb-2024,48799.95,48819.95,48242.20,48306.20,48252.95,48306.20,8244.00,59933.31,180825.00,8970.00,47761.65
BANKNIFTY,02-Jan-2024,28-Mar-2024,49150.00,49150.00,48500.00,48594.35,48541.80,48594.35,1546.00,11317.90,58875.00,4155.00,47761.65
BANKNIFTY,03-Jan-2024,25-Jan-2024,47849.85,48086.85,47763.75,47931.95,48006.40,47931.95,172345.00,1239038.88,1998315.00,-285300.00,47704.95
BANKNIFTY,03-Jan-2024,29-Feb-2024,48224.25,48420.00,48123.80,48270.90,48323.00,48270.90,6858.00,49650.57,190350.00,9525.00,47704.95
BANKNIFTY,03-Jan-2024,28-Mar-2024,48501.00,48719.05,48421.90,48551.20,48600.00,48551.20,1621.00,11806.61,65850.00,6975.00,47704.95
BANKNIFTY,04-Jan-2024,25-Jan-2024,48062.30,48581.30,47995.65,48501.75,48560.00,48501.75,154623.00,1120917.68,2046465.00,48150.00,48195.85
BANKNIFTY,04-Jan-2024,29-Feb-2024,48500.00,48895.00,48355.90,48813.70,48875.00,48813.70,6649.00,48505.73,204540.00,14190.00,48195.85
BANKNIFTY,04-Jan-2024,28-Mar-2024,48651.15,49184.15,48643.20,49080.90,49150.00,49080.90,3029.00,22234.30,74490.00,8640.00,48195.85
BANKNIFTY,05-Jan-2024,25-Jan-2024,48502.05,48625.00,47982.00,48388.45,48300.05,48388.45,176646.00,1280418.50,1900095.00,-146370.00,48159.00
BANKNIFTY,05-Jan-2024,29-Feb-2024,48884.30,48932.40,48320.55,48718.30,48651.30,48718.30,7616.00,55597.59,203865.00,-675.00,48159.00
BANKNIFTY,05-Jan-2024,28-Mar-2024,49100.05,49207.35,48640.00,49009.70,48912.50,49009.70,2201.00,16165.66,72195.00,-2295.00,48159.00
BANKNIFTY,08-Jan-2024,25-Jan-2024,48490.00,48490.00,47567.00,47621.85,47630.00,47621.85,192242.00,1382272.23,2363010.00,462915.00,47450.25
BANKNIFTY,08-Jan-2024,29-Feb-2024,48550.05,48672.70,47922.00,47966.15,47960.00,47966.15,10721.00,77615.90,197445.00,-6420.00,47450.25
BANKNIFTY,08-Jan-2024,28-Mar-2024,48872.05,48970.00,48230.00,48273.40,48275.00,48273.40,2619.00,19070.82,71595.00,-600.00,47450.25
BANKNIFTY,09-Jan-2024,25-Jan-2024,47811.10,48146.90,47341.05,47391.50,47410.00,47391.50,196049.00,1405033.81,2262480.00,-100530.00,47242.65
BANKNIFTY,09-Jan-2024,29-Feb-2024,48150.00,48466.75,47688.50,47735.60,47763.85,47735.60,9782.00,70564.23,200085.00,2640.00,47242.65
BANKNIFTY,09-Jan-2024,28-Mar-2024,48450.40,48752.00,48005.95,48048.80,48052.00,48048.80,3004.00,21804.52,73320.00,1725.00,47242.65
BANKNIFTY,10-Jan-2024,25-Jan-2024,47280.00,47666.00,47201.00,47606.85,47638.90,47606.85,152100.00,1083368.30,2185575.00,-76905.00,-
BANKNIFTY,10-Jan-2024,29-Feb-2024,47659.95,47993.85,47580.00,47938.10,47958.85,47938.10,6890.00,49409.31,200820.00,735.00,-
BANKNIFTY,10-Jan-2024,28-Mar-2024,48000.00,48283.00,47900.00,48223.80,48267.00,48223.80,2689.00,19405.00,75105.00,1785.00,-
BANKNIFTY,11-Jan-2024,25-Jan-2024,47767.40,47822.65,47340.55,47573.70,47580.00,47573.70,112409.00,802728.33,2275950.00,90375.00,47438.35
BANKNIFTY,11-Jan-2024,29-Feb-2024,48048.30,48155.00,47691.00,47912.90,47915.00,47912.90,5144.00,36994.54,202995.00,2175.00,47438.35
BANKNIFTY,11-Jan-2024,28-Mar-2024,48352.50,48460.75,48000.00,48209.55,48215.00,48209.55,2013.00,14564.39,73155.00,-1950.00,47438.35
BANKNIFTY,12-Jan-2024,25-Jan-2024,47656.80,48047.00,47568.60,47840.15,47900.20,47840.15,155583.00,1116345.18,2013795.00,-262155.00,-
BANKNIFTY,12-Jan-2024,29-Feb-2024,47990.00,48371.95,47908.55,48170.20,48220.00,48170.20,8939.00,64598.96,202545.00,-450.00,-
BANKNIFTY,12-Jan-2024,28-Mar-2024,48309.55,48660.00,48221.00,48473.60,48540.00,48473.60,2348.00,17067.73,74625.00,1470.00,-
BANKNIFTY,15-Jan-2024,25-Jan-2024,48002.25,48380.00,47933.20,48306.25,48370.00,48306.25,131903.00,953386.72,2027040.00,13245.00,48158.30
