Date,Close,High,Low,Open,Volume
2024-06-03,23263.900390625,23338.69921875,23062.30078125,23337.900390625,569400
2024-06-04,21884.5,23179.5,21281.44921875,23179.5,1006100
2024-06-05,22620.349609375,22670.400390625,21791.94921875,22128.349609375,638500
2024-06-06,22821.400390625,22910.150390625,22642.599609375,22798.599609375,480400
2024-06-07,23290.150390625,23320.19921875,22789.05078125,22821.849609375,473600
2024-06-10,23259.19921875,23411.900390625,23227.150390625,23319.150390625,304400
2024-06-11,23264.849609375,23389.44921875,23206.650390625,23283.75,305200
2024-06-12,23322.94921875,23441.94921875,23295.94921875,23344.44921875,295600
2024-06-13,23398.900390625,23481.05078125,23353.900390625,23480.94921875,268300
2024-06-14,23465.599609375,23490.400390625,23334.25,23464.94921875,223100
2024-06-18,23557.900390625,23579.05078125,23499.69921875,23570.80078125,272200
2024-06-19,23516.0,23664.0,23412.900390625,23629.849609375,328800
2024-06-20,23567.0,23624.0,23442.599609375,23586.150390625,280300
2024-06-21,23501.099609375,23667.099609375,23398.19921875,23661.150390625,609900
2024-06-24,23537.849609375,23558.099609375,23350.0,23382.30078125,239400
2024-06-25,23721.30078125,23754.150390625,23562.05078125,23577.099609375,298100
2024-06-26,23868.80078125,23889.900390625,23670.44921875,23723.099609375,287800
2024-06-27,24044.5,24087.44921875,23805.400390625,23881.55078125,515200
2024-06-28,24010.599609375,24174.0,23985.80078125,24085.900390625,354800
2024-07-01,24141.94921875,24164.0,23992.69921875,23992.94921875,0
2024-07-02,24123.849609375,24236.349609375,24056.400390625,24228.75,0
2024-07-03,24286.5,24309.150390625,24207.099609375,24291.75,0
2024-07-04,24302.150390625,24401.0,24281.0,24369.94921875,251200
2024-07-05,24323.849609375,24363.0,24168.849609375,24213.349609375,298400
2024-07-08,24320.55078125,24344.599609375,24240.55078125,24329.44921875,266300
2024-07-09,24433.19921875,24443.599609375,24331.900390625,24351.0,250500
2024-07-10,24324.44921875,24461.05078125,24141.80078125,24459.849609375,292300
2024-07-11,24315.94921875,24402.650390625,24193.75,24396.55078125,306400
2024-07-12,24502.150390625,24592.19921875,24331.150390625,24387.94921875,325800
2024-07-15,24586.69921875,24635.05078125,24522.75,24587.599609375,305400
2024-07-16,24613.0,24661.25,24587.650390625,24615.900390625,283200
2024-07-18,24800.849609375,24837.75,24504.44921875,24543.80078125,350900
2024-07-19,24530.900390625,24854.80078125,24508.150390625,24853.80078125,343800
2024-07-22,24509.25,24595.19921875,24362.30078125,24445.75,324200
2024-07-23,24479.05078125,24582.55078125,24074.19921875,24568.900390625,436400
2024-07-24,24413.5,24504.25,24307.25,24444.94921875,366600
2024-07-25,24406.099609375,24426.150390625,24210.80078125,24230.94921875,391800
2024-07-26,24834.849609375,24861.150390625,24410.900390625,24423.349609375,383800
2024-07-29,24836.099609375,24999.75,24774.599609375,24943.30078125,355000
2024-07-30,24857.30078125,24971.75,24798.650390625,24839.400390625,385000
2024-07-31,24951.150390625,24984.599609375,24856.5,24886.69921875,333600
2024-08-01,25010.900390625,25078.30078125,24956.400390625,25030.94921875,431300
2024-08-02,24717.69921875,24851.900390625,24686.849609375,24789.0,345000
2024-08-05,24055.599609375,24350.05078125,23893.69921875,24302.849609375,487000
2024-08-06,23992.55078125,24382.599609375,23960.400390625,24189.849609375,312300
2024-08-07,24297.5,24337.69921875,24184.900390625,24289.400390625,317600
2024-08-08,24117.0,24340.5,24079.69921875,24248.55078125,311900
2024-08-09,24367.5,24419.75,24311.19921875,24386.849609375,215100
2024-08-12,24347.0,24472.80078125,24212.099609375,24320.05078125,279900
2024-08-13,24139.0,24359.94921875,24116.5,24342.349609375,239700
2024-08-14,24143.75,24196.5,24099.69921875,24184.400390625,303300
2024-08-16,24541.150390625,24563.900390625,24204.5,24334.849609375,271600
2024-08-19,24572.650390625,24638.80078125,24522.94921875,24636.349609375,243600
2024-08-20,24698.849609375,24734.30078125,24607.19921875,24648.900390625,238300
2024-08-21,24770.19921875,24787.94921875,24654.5,24680.55078125,257100
2024-08-22,24811.5,24867.349609375,24784.44921875,24863.400390625,220300
2024-08-23,24823.150390625,24858.400390625,24771.650390625,24845.400390625,206800
2024-08-26,25010.599609375,25043.80078125,24874.69921875,24906.099609375,210300
2024-08-27,25017.75,25073.099609375,24973.650390625,25024.80078125,223300
2024-08-28,25052.349609375,25129.599609375,24964.650390625,25030.80078125,220400
2024-08-29,25151.94921875,25192.900390625,24998.5,25035.30078125,354000
2024-08-30,25235.900390625,25268.349609375,25199.400390625,25249.69921875,638200
2024-09-02,25278.69921875,25333.650390625,25235.5,25333.599609375,222800
2024-09-03,25279.849609375,25321.69921875,25235.80078125,25313.400390625,212100
2024-09-04,25198.69921875,25216.0,25083.80078125,25089.94921875,253800
2024-09-05,25145.099609375,25275.44921875,25127.75,25250.5,222200
2024-09-06,24852.150390625,25168.75,24801.30078125,25093.69921875,311700
2024-09-09,24936.400390625,24957.5,24753.150390625,24823.400390625,254400
2024-09-10,25041.099609375,25130.5,24896.80078125,24999.400390625,251300
2024-09-11,24918.44921875,25113.69921875,24885.150390625,25034.0,279200
2024-09-12,25388.900390625,25433.349609375,24941.44921875,25059.650390625,380100
2024-09-13,25356.5,25430.5,25292.44921875,25430.44921875,250800
2024-09-16,25383.75,25445.69921875,25336.19921875,25406.650390625,168700
2024-09-17,25418.55078125,25441.650390625,25352.25,25416.900390625,216000
2024-09-18,25377.55078125,25482.19921875,25285.55078125,25402.400390625,215700
2024-09-19,25415.80078125,25611.94921875,25376.05078125,25487.05078125,314500
2024-09-20,25790.94921875,25849.25,25426.599609375,25525.94921875,533100
2024-09-23,25939.05078125,25956.0,25847.349609375,25872.55078125,209200
2024-09-24,25940.400390625,26011.55078125,25886.849609375,25921.44921875,384100
2024-09-25,26004.150390625,26032.80078125,25871.349609375,25899.44921875,278500
2024-09-26,26216.05078125,26250.900390625,25998.400390625,26005.400390625,370900
2024-09-27,26178.94921875,26277.349609375,26151.400390625,26248.25,490300
2024-09-30,25810.849609375,26134.69921875,25794.099609375,26061.30078125,343100
2024-10-01,25796.900390625,25907.599609375,25739.19921875,25788.44921875,247400
